ID,ClusterID,Title,QuestionContent,SolutionContent,Components,Symptoms,Resolutions
1280,A,can the new (latest) macbook pro operate with the lid closed and built in screen off when connected to an external monitor?,with my old macbook pro retina (first version) if i connected it to a thunderbolt i could close the lid and have it operate closed with the internal screen off.‘_ if i pressed a key on an external keyboard or mouse it would wake. can the new one work the same way when connected to a thunderbolt or other external display (with the right adapter of course) assuming the keyboard and mouse was connected with a usb-c hub such as this one? ‘_ thanks.,"hi, ‘_ yes, the 2016 works the same way in clamshell/closed display mode; the usb-c hub is a variable: use your mac notebook computer in closed-display mode with an external display - apple support","lid,screen,monitor,retina,thunderbolt,lid,screen,key,keyboard,mouse,thunderbolt,display,adapter,keyboard,mouse,hub,display,hub,display","latest,macbook,pro,operate,lid,close,build,screen,connect,external,old,macbook,pro,retina,version,connect,thunderbolt,close,lid,operate,close,internal,screen,press,key,external,keyboard,mouse,wake,work,connect,thunderbolt,external,display,adapter,assume,keyboard,mouse,connect,usb-c,hub","work,display,mode,usb-c,hub,variable,mac,notebook,computer,mode,external,display,apple,support"
1281,A,apple usb-c cable: no video signal?,"hello, ‘_ i have a 2016 15' macbook pro with the radeon 455 graphics card. ‘_ i'm trying to connect it to my lg 38' ultrawide display, which features usb-c connectivity. ‘_ when i use the usb-c cable that came with the lg display, both charging and video work flawlessly. when i use apple usb-c cable that came with the macbook pro, only charging seems to work, but no video signal is found. ‘_ is there a reason why video doesn't work using the apple cable?  ‘_ thanks in advance","is there a reason why video doesn't work using the apple cable? ‘_ yes, there is. ‘_ the brain-damaged cable apple supplies is good for charging and usb-2, and nothing else. ‘_ 'this 2-meter charge cable _„î with usb-c connectors on both ends _„î is ideal for charging usb-c devices, and also supports usb 2 for syncing and data transfer between usb-c devices. to conveniently charge your macbook or macbook pro from a wall outlet, pair the usb-c charge cable with a compatible usb-c power adapter, sold separately.*'","cable,video,graphic,display,cable,display,video,cable,video,video,cable,video,cable,cable,charge,cable,connector,usb,datum,charge,cable,power adapter","apple,usb-c,cable,video,macbook,pro,radeon,graphic,card,usb-c,cable,display,charge,video,work,apple,usb-c,cable,macbook,pro,charge,work,video,signal,reason,video,work,apple,cable,advance","reason,video,work,apple,cable,cable,apple,supplies,good,charge,usb-2,charge,cable,usb-c,connector,end,ideal,charge,usb-c,device,support,usb,datum,transfer,usb-c,device,charge,macbook,macbook,pro,wall,outlet,pair,usb-c,charge,cable,compatible,usb-c,power,adapter"
1026,A,"how to connect monitor: hdmi, dp or usb-c?","i have a macbook pro mid-2014 with a hdmi port and a thunderbolt 2 port (that i beleive doubles up as a minidp port). ‘_ i have just bought an acer h2777hu 27 inch (2560 x 1440 pixel) monitor. it has a hdmi port, dp port and usb-c port. ‘_ it only came with a dp cable, which does not fit the minidp port on my macbook. ‘_ so my question is: what is the best way to connect the two, ensuring that i get the full 2560 x 1440 resolution, 60hz refresh and can use the built in speakers? ‘_ is it: hdmi to hdmi (are there different sizes of hdmi?) minidp to dp (does this cable exist?) thunderbolt 2 to usb-c (does this cable exist?) ‘_ thank you",the connectors are the same.‘_ 1.1 or higher will work for your resolution.‘_ 1.2 or higher for 4k.‘_ 1.3 for 5k.,"monitor,hdmus,usb-c,hdmus port,thunderbolt,port,port,monitor,hdmus port,port,port,cable,port,resolution,speaker,hdmus,hdmus,hdmus,cable,thunderbolt,cable,connector,resolution,4k","connect,monitor,hdmus,usb-c,macbook,pro,mid-2014,hdmus,port,thunderbolt,port,double,port,hdmus,port,port,usb-c,port,cable,fit,port,macbook,question,best,connect,full,resolution,refresh,build,speaker,hdmus,hdmus,size,hdmus,cable,exist,thunderbolt,usb-c,cable,exist","connector,higher,work,resolution,higher"
1282,A,stain damage slowly progressing,"i have a 13 inch mbp (early 2015). i thought my screen is showing some scratches but after some googling, i discovered that it's 'stain damage' aka 'ar coating that is coming off'. in my case it's not really noticeable but i am afraid that it's getting worse. the laptop is just over a year old and originally brought in canada (i know reside in the netherlands). my warranty has expired and i can't make use of the free replacement apple supposedly provides.  ‘_ i am sort of a newbie to the platform so i am wondering if it's possible to get a care plan or some sort of warranty? is that possible since i am no longer in the country of purchase? any advice greatly appreciated.","your question is much like asking:‘_ 'i just had a bad automobile accident.‘_ can i now purchase some auto insurance so i don't have such a big automobile repair expense from this accident?' ‘_ i suggest you take the mac to an apple store or authorized apple service center.‘_ let them assess it and advise you about price, etc.","screen,case,service","damage,progress,inch,mbp,early,screen,show,scratch,googling,discover,damage,coating,case,noticeable,afraid,worse,laptop,old,bring,sort,platform,care,plan,sort,warranty,advice,appreciate","question,bad,auto,big,repair,suggest,mac,apple,store,authorize,apple,service,center,advise,price"
1027,A,macbook pro bought at best buy,"hi, ‘_ i recently bought a macbook pro from bestbuy and started to notice the keyboard went dark at times and the screen glitches while powering off; prompting it to an abrupt shut off. can i bring in my macbook to an apple store for service instead of going to bestbuy or am i stuck with the geek squad whom i have not heard very good things about? ‘_ thank you.","if you've purchased the machine in the last year, it is covered by apple's 1-year limited warranty, so as long as there is no physical damage, they should be able to diagnose it for you. you aren't limited to the geek squad.","keyboard,screen,service","bring,macbook,apple,store,service,bestbuy,stick,geek,squad,hear,good","machine,cover,apple,limited,warranty,long,physical,damage,diagnose,limit"
1283,A,damaged screen coating late 2013 macbook pro?,"15-inch macbook pro retina late 2013 model - os x el capitan ‘_ the coating of my macbook screen has had worn over the period i've owned it, just from cleaning with a cloth that came with the macbook. at first i thought this might just be an isolated issue, however it came to my attention that several other macbook owners have similar damage to the screen coating. i've read a few articles and apparently apple have a repair ongoing for the screens. ‘_ my macbook is no longer under the warranty due to me purchasing it in late 2013. ‘_ my question out of all of this is; is apple going to replace the screens and/or the coating? if not is there a way i can fix this and prevent it from happening again? ‘_ - cohen ‘_ link to article on replacement screens - http://www.macworld.com/article/2994479/macbook/report-apple-will-replace-retina -macbook-pro-screens-with-bad-coating.ht_„_","sorry, one cannot contact apple by email. but you can call apple or ask applecare to contact you. ‘_ click Ç£ in the menu bar. about this mac > service > show my service and repair options ‘_  ‘_ ‘_ > contact apple support > service requests and troubleshooting > display issue no thanks, continue ‘_ choose the option you prefer like _„ñschedule a call_„. ‘_ if everything goes well and things are in order, they will send you a box by fedex to send your mac for repair. be sure to backup the computer before sending it.","screen,retina,os x,screen,screen,screen,screen,link,screen,menu bar,service,service,service,display,box","damage,screen,coating,late,macbook,pro,macbook,pro,retina,late,model,capitan,coating,macbook,screen,wear,period,clean,macbook,issue,macbook,owner,similar,damage,screen,coating","contact,apple,email,call,apple,applecare,contact,click,menu,bar,mac,service,show,service,repair,option,contact,apple,support,service,request,troubleshoot,display,issue,continue,choose,option,prefer,schedule,call,order,send,box,send,mac,repair,backup,computer,send"
1028,A,macbook pro with 3 displays?,"i have a macbook pro with 2 thunderbolt ports and 1 hdmi port.  ‘_ i want to have 3 external displays.  ‘_ i'm not clear on what piece of hardware i need to accomplish this..... ‘_ ‘_ i've tried searching here but it seems some are ****** it doesn't work and some get it to work but don't state their precise solution (or i haven't found the magic combo of keywords i need to find my magic solution.) ‘_ in any event, for simplicity's sake, assume i have monitors that have hdmi in ports. they also have the standard dva and vta ports as well.  ‘_ wil something like 2 of these running out of my 2 thunderbolt ports do the trick? do i need an hdmi splitter of some sort? ‘_ thank you immensely in advance!","‘_ ‘_ ‘_ from: https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15- dual-graphics-mid-2014-retina-display-sp_„_  your model only has display hardware to support two external displays. if you wanted more at full speed, you would need to have bought a more-capable (and more expensive) model. ‘_ the important part of the display hardware is stuff that automatically reads the screen buffer 60 times a second, and turns it into one-pixel tall 'strips' of data to be sent to the screen, while decoding the correct color information to be sent with it. sometimes referred to as a 'rasterizer'. ‘_ you can't replicate that with no 'splitter'. it needs to be there, inside the computer. ‘_ --------","display,thunderbolt,port,hdmus port,display,hardware,monitor,hdmus,port,port,thunderbolt,port,hdmus,display,hardware,display,speed,display,hardware,screen,datum,screen,information","macbook,pro,macbook,pro,thunderbolt,port,hdmus,port,external,display,event,assume,monitor,hdmus,port,standard,port,run,thunderbolt,port,trick,hdmus,sort,advance","model,display,hardware,support,external,display,full,speed,expensive,model,important,part,display,hardware,stuff,read,screen,turn,strip,datum,send,screen,decode,correct,color,information,send,refer,splitter,computer"
1284,A,blurry fonts on external display _„_ samsung cf791,"i've just bought a 34 inch samsung monitor (cf791, also known as lc34f791wquxen) for my mbp retina 15' mid-2015. it looks a beauty :-) ‘_ things started easily enough. hdmi to hdmi, and the macbook adopted the monitor's full resolution, 3440 x 1440, as i was led to believe by apple's documentation. apparently, according to the greyed out detail in the refresh rate field, it's operating at 50 hertz. ‘_ but all fonts in all applications are blurry, slightly pixellated. ‘_ it seems from various fora that this is a notorious problem. macs have had this trouble with external displays for years without any response, that i can find at least, from apple. following most threads, the final option appears to be 'forcing rgb mode' per these instructions. ‘_ i've done this, but to no avail as you can see from this screenshot. ‘_  ‘_ what choices do i have? must i return the samsung monitor? in which case, any and all guidance in knowing how to select an alternative welcome. thank you.","well here's a turn up for the books! i think i've sorted it. running through the manual one last time before putting the screen back in its box to return it, i searched for references to 'blurry' and found it in instructions for adjusting sharpness. well, i've increased sharpness before, i said to myself, but what the **** i'll give it another go. set at 60. going to 70, 80, 90 and no improvement, just as before! back to 60. ‘_ and then i thought, well what if i reduce sharpness, as odd as that sounds for sorting blurry fonts. and blow me down, it worked! sharpness at 28 - 32 works a treat. so simple. so unobvious.","display,monitor,retina,hdmus,hdmus,monitor,resolution,application,display,instruction,monitor,case,screen,box,instruction","font,external,display,samsung,start,hdmus,hdmus,macbook,monitor,full,resolution,lead,apple,accord,grey,detail,refresh,rate,field,operate,font,application,forum,problem,mac,trouble,external,display,response,apple,avail,screenshot,choice,return,samsung,monitor,case,select,alternative,welcome","turn,book,sort,run,manual,put,screen,back,box,return,search,reference,instruction,adjust,increase,give,set,back,reduce,odd,sound,sort,work,work,treat,simple"
1029,A,4k and 60fps on lg external monitor,"hello all, ‘_ i am using the macbook pro 13' 2016 model (with sierra 10.13.2 version) with an original type c adapter for hdmi output. recently i bought an lg 27ud68p 4k monitor as external. i checked that type c adapter along with the lg monitor supports hdmi 2.0 which means that normally i should be able to select 4k @60hz output. ‘_ however, the only options are 4k @30hz and 1080p @60hz and my mac recognize the monitor as 30inches and 1080p. ‘_ does anyone know if my cable is the problem or this is the max resolution via a type c adapter? ‘_ thank you all, dimitris",for any future references please visit my thread at: lg 27' 4k and macbook pro 13 2016 late issues | macrumors forums,"4k,monitor,sierra,adapter,output,4k,monitor,adapter,monitor,hdmus,4k,output,monitor,cable,resolution,adapter,4k","external,monitor,macbook,pro,model,sierra,version,original,type,adapter,hdmi,output,option,mac,recognize,monitor,cable,problem,max,resolution,type,adapter","future,reference,visit,thread,macbook,pro,late,issue,macrumor,forum"
1285,A,how to change login screen,previous responses/answers dealt with older macos versions. those solutions do not seem to work using macos 10.12.3 (16d32).,try this: change login screen in sierra,"login screen,maco,maco,login screen,sierra","change,login,screen,previous,deal,older,maco,version,solution,work,maco","change,login,screen,sierra"
